q_name,q_label,grouping,item_label,section,item_full_name
Q8_3,br_side_eff,buprenorphine,Oral buprenorphine  has dangerous side effects,"Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail).","Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail). - Oral buprenorphine  has dangerous side effects"
Q8_4,br_not_recov,buprenorphine,People in oral buprenorphine  treatment are not actually in recovery,"Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail).","Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail). - People in oral buprenorphine  treatment are not actually in recovery"
Q8_5,br_bad_phys,buprenorphine,Treatment with oral buprenorphine  is bad for you physically,"Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail).","Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail). - Treatment with oral buprenorphine  is bad for you physically"
Q8_6,br_get_high,buprenorphine,Most people in oral buprenorphine  treatment use it to “get high”,"Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail).","Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail). - Most people in oral buprenorphine  treatment use it to “get high”"
Q8_7,br_cravings,buprenorphine,Oral buprenorphine  helps prevent cravings for opioids,"Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail).","Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail). - Oral buprenorphine  helps prevent cravings for opioids"
Q8_8,br_from_high,buprenorphine,Oral buprenorphine  helps prevent individuals from getting high,"Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail).","Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail). - Oral buprenorphine  helps prevent individuals from getting high"
Q9_1,nt_replace,naltrexone,Treatment with extended-release naltrexone is replacing one addiction with another,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol).,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol). - Treatment with extended-release naltrexone is replacing one addiction with another
Q9_2,nt_safe,naltrexone,Treatment with extended-release naltrexone  is safe,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol).,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol). - Treatment with extended-release naltrexone  is safe
Q9_3,nt_side_eff,naltrexone,Extended-release naltrexone  has dangerous side effects,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol).,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol). - Extended-release naltrexone  has dangerous side effects
Q9_4,nt_not_recov,naltrexone,People in extended-release naltrexone treatment are not actually in recovery,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol).,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol). - People in extended-release naltrexone treatment are not actually in recovery
Q9_5,nt_bad_phys,naltrexone,Treatment with extended-release naltrexone is bad for you physically,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol).,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol). - Treatment with extended-release naltrexone is bad for you physically
Q9_6,nt_get_high,naltrexone,Most people in extended-release naltrexone treatment use it to “get high”,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol).,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol). - Most people in extended-release naltrexone treatment use it to “get high”
Q9_7,nt_cravings,naltrexone,Extended-release naltrexone  helps prevent cravings for opioids,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol).,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol). - Extended-release naltrexone  helps prevent cravings for opioids
Q9_8,nt_from_high,naltrexone,Extended-release naltrexone  helps prevent individuals from getting high,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol).,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol). - Extended-release naltrexone  helps prevent individuals from getting high
Q10_1,higher_power,attitude_opioids,People with an opioid use disorder need to accept lack of control over their addiction while placing trust in a higher power,Please mark the extent to which you agree with each of the following statements about opioid use disorder (i.e. opioid addiction).,Please mark the extent to which you agree with each of the following statements about opioid use disorder (i.e. opioid addiction). - People with an opioid use disorder need to accept lack of control over their addiction while placing trust in a higher power
Q10_2,reach_out,attitude_opioids,People with an opioid use disorder need to reach out to others in recovery,Please mark the extent to which you agree with each of the following statements about opioid use disorder (i.e. opioid addiction).,Please mark the extent to which you agree with each of the following statements about opioid use disorder (i.e. opioid addiction). - People with an opioid use disorder need to reach out to others in recovery
Q10_3,12steps,attitude_opioids,Opioid use disorder treatment should include a 12-step program (e.g. Alcoholics Anonymous or Narcotics Anonymous),Please mark the extent to which you agree with each of the following statements about opioid use disorder (i.e. opioid addiction).,Please mark the extent to which you agree with each of the following statements about opioid use disorder (i.e. opioid addiction). - Opioid use disorder treatment should include a 12-step program (e.g. Alcoholics Anonymous or Narcotics Anonymous)
Q11_1,Heroin,common_misuse,Heroin,"In your opinion, how common is misuse of each of the following substances by students on campus? Misuse includes using a medication in a different manner or dose than it is prescribed, or using a medication prescribed to someone else.","In your opinion, how common is misuse of each of the following substances by students on campus? Misuse includes using a medication in a different manner or dose than it is prescribed, or using a medication prescribed to someone else. - Heroin"
Q11_2,Fentanyl,common_misuse,Fentanyl,"In your opinion, how common is misuse of each of the following substances by students on campus? Misuse includes using a medication in a different manner or dose than it is prescribed, or using a medication prescribed to someone else.","In your opinion, how common is misuse of each of the following substances by students on campus? Misuse includes using a medication in a different manner or dose than it is prescribed, or using a medication prescribed to someone else. - Fentanyl"
Q11_3,Opioids,common_misuse,"Prescription opioids (e.g. oxycodone, Oxycontin, Lortab, hydrocodone, Percocet)","In your opinion, how common is misuse of each of the following substances by students on campus? Misuse includes using a medication in a different manner or dose than it is prescribed, or using a medication prescribed to someone else.","In your opinion, how common is misuse of each of the following substances by students on campus? Misuse includes using a medication in a different manner or dose than it is prescribed, or using a medication prescribed to someone else. - Prescription opioids (e.g. oxycodone, Oxycontin, Lortab, hydrocodone, Percocet)"
Q12_1,Heroin,common_addict,Heroin,"In your opinion, how common is addiction to/dependence on each of the following substances by students on campus? Addiction or dependence is compulsive use of a substance despite negative consequences.","In your opinion, how common is addiction to/dependence on each of the following substances by students on campus? Addiction or dependence is compulsive use of a substance despite negative consequences. - Heroin"
Q12_2,Fentanyl,common_addict,Fentanyl,"In your opinion, how common is addiction to/dependence on each of the following substances by students on campus? Addiction or dependence is compulsive use of a substance despite negative consequences.","In your opinion, how common is addiction to/dependence on each of the following substances by students on campus? Addiction or dependence is compulsive use of a substance despite negative consequences. - Fentanyl"
Q12_3,Opioids,common_addict,"Prescription opioids (e.g. oxycodone, Oxycontin, Lortab, hydrocodone, Percocet)","In your opinion, how common is addiction to/dependence on each of the following substances by students on campus? Addiction or dependence is compulsive use of a substance despite negative consequences.","In your opinion, how common is addiction to/dependence on each of the following substances by students on campus? Addiction or dependence is compulsive use of a substance despite negative consequences. - Prescription opioids (e.g. oxycodone, Oxycontin, Lortab, hydrocodone, Percocet)"
Q13_1,UCF-BHS,know_resource,Behavioral health services at the UCF Health Center,How knowledgeable are you about the following campus resources at the University of Central Florida?,How knowledgeable are you about the following campus resources at the University of Central Florida? - Behavioral health services at the UCF Health Center
Q13_2,UCF-CRP,know_resource,Collegiate Recovery Program,How knowledgeable are you about the following campus resources at the University of Central Florida?,How knowledgeable are you about the following campus resources at the University of Central Florida? - Collegiate Recovery Program
Q14_1,IU-OASIS,know_resource,OASIS,How knowledgeable are you about the following campus resources at Indiana University-Bloomington?,How knowledgeable are you about the following campus resources at Indiana University-Bloomington? - OASIS
Q14_2,IU-CPS,know_resource,Counseling & Psychological Services at the Student Health Center,How knowledgeable are you about the following campus resources at Indiana University-Bloomington?,How knowledgeable are you about the following campus resources at Indiana University-Bloomington? - Counseling & Psychological Services at the Student Health Center
Q15_1,needle,policy_support,Needle and syringe distribution to drug users,To what extent do you support each of the following policies?,To what extent do you support each of the following policies? - Needle and syringe distribution to drug users
Q15_2,naloxone,policy_support,Naloxone/Narcan (opioid overdose reversal medication) distribution to opioid users,To what extent do you support each of the following policies?,To what extent do you support each of the following policies? - Naloxone/Narcan (opioid overdose reversal medication) distribution to opioid users
Q15_3,safe_inject,policy_support,Sites where opioid users can safely inject under medical supervision,To what extent do you support each of the following policies?,To what extent do you support each of the following policies? - Sites where opioid users can safely inject under medical supervision
Q15_4,heroin_maint,policy_support,Heroin maintenance (prescription of heroin to users who do not do well with other treatments),To what extent do you support each of the following policies?,To what extent do you support each of the following policies? - Heroin maintenance (prescription of heroin to users who do not do well with other treatments)
Q15_5,heroin_decrim,policy_support,Decriminalization of heroin (i.e. possessing small amounts does not cause jail/prison time),To what extent do you support each of the following policies?,To what extent do you support each of the following policies? - Decriminalization of heroin (i.e. possessing small amounts does not cause jail/prison time)
Q15_6,legal_testing,policy_support,Legal drug content testing (e.g. sites where drug users can check drug content for dangerous mix-ins before using),To what extent do you support each of the following policies?,To what extent do you support each of the following policies? - Legal drug content testing (e.g. sites where drug users can check drug content for dangerous mix-ins before using)
Q15_7,good_samar,policy_support,Good Samaritan laws (e.g. no criminal prosecution for assisting someone who needs emergency medical help during an opioid overdose),To what extent do you support each of the following policies?,To what extent do you support each of the following policies? - Good Samaritan laws (e.g. no criminal prosecution for assisting someone who needs emergency medical help during an opioid overdose)
Q16,class_standing,demographic,What is your class standing?,What is your class standing?,What is your class standing?
Q17,age,demographic,What is your age?,What is your age?,What is your age?
Q18,race,demographic,What best describes your race/ethnicity? Mark all that apply.,What best describes your race/ethnicity? Mark all that apply.,What best describes your race/ethnicity? Mark all that apply.
Q19,gender,demographic,What best describes your gender?,What best describes your gender?,What best describes your gender?
Q20,political,demographic,What best describes your political leanings?,What best describes your political leanings?,What best describes your political leanings?
Q21,religion,demographic,How important is religion or spirituality to you?,How important is religion or spirituality to you?,How important is religion or spirituality to you?
Q22,student_type,demographic,Mark all that apply to you.,Mark all that apply to you.,Mark all that apply to you.
Q23,field_of_study,demographic,Which of the following best describe(s) your primary field of study (pick up to two only)?,Which of the following best describe(s) your primary field of study (pick up to two only)?,Which of the following best describe(s) your primary field of study (pick up to two only)?
